aXperc75,aYsd,aYperc90,aZabsmean,aZrootms,aMsd,gMsd,Label
0.875244,0.023892,-0.453979,0.022896,0.028914,0.018114,5.536306,other
0.867432,0.011147,-0.47644,0.013247,0.015143,0.007653,3.281176,other
0.86499,0.007305,-0.480103,0.01522,0.016093,0.006209,1.337644,other
0.877686,0.010345,-0.458496,0.017715,0.018352,0.006741,1.624866,other
0.879395,0.008133,-0.459839,0.020977,0.022087,0.007057,0.939501,other
0.871094,0.015331,-0.461914,0.023779,0.026104,0.007604,4.222621,other
0.876221,0.021869,-0.447754,0.019858,0.023943,0.014617,4.211194,other
0.876953,0.007412,-0.464478,0.022002,0.023512,0.006632,3.343694,other
0.872803,0.010213,-0.468994,0.016289,0.018609,0.006569,3.157268,other
0.87793,0.01222,-0.460571,0.016157,0.018961,0.011139,2.639512,other
0.874268,0.014118,-0.458862,0.012222,0.014734,0.011224,3.208314,other
0.871826,0.019602,-0.457153,0.012549,0.015526,0.018889,3.933089,other
0.87085,0.015126,-0.473511,0.016265,0.019805,0.015542,3.99949,other
0.864014,0.014169,-0.476807,0.014614,0.01878,0.010667,4.206753,other
0.875244,0.031823,-0.442627,0.021646,0.029,0.022745,10.414237,other
0.872803,0.018339,-0.463501,0.020518,0.022891,0.011709,4.799791,other
0.869141,0.009226,-0.475464,0.027153,0.028274,0.010089,1.851567,other
0.869141,0.0164,-0.468018,0.025649,0.027835,0.013704,4.584549,other
0.867676,0.008416,-0.474976,0.026724,0.027404,0.007501,1.238913,other
0.87207,0.009176,-0.471191,0.015205,0.017428,0.006335,2.205915,other
0.866943,0.005903,-0.47937,0.017271,0.018045,0.006443,0.972978,other
0.86792,0.005986,-0.480347,0.015088,0.015964,0.00585,0.935503,other
0.868896,0.005317,-0.477173,0.014419,0.015085,0.00508,1.010336,other
0.870361,0.005687,-0.478149,0.011675,0.012592,0.006572,1.318756,other
0.871826,0.007526,-0.469482,0.019458,0.020113,0.007682,1.144256,other
0.868896,0.004962,-0.477051,0.013394,0.01434,0.004821,1.228343,other
0.869873,0.00694,-0.473267,0.014243,0.015635,0.006955,1.655504,other
0.869873,0.006127,-0.47522,0.013794,0.015465,0.006446,1.196565,other
0.86792,0.005308,-0.477295,0.024814,0.025212,0.005316,2.08157,other
0.868408,0.007361,-0.474976,0.029902,0.030543,0.005276,1.730554,other
0.874268,0.009567,-0.467163,0.023169,0.024691,0.008698,2.461906,other
0.869385,0.008345,-0.47583,0.023887,0.02528,0.007555,1.53735,other
0.87085,0.00989,-0.473389,0.024844,0.026323,0.009577,2.062421,other
0.867188,0.007365,-0.474854,0.029961,0.030508,0.00758,1.395458,other
0.869629,0.007187,-0.474487,0.027778,0.028667,0.007454,1.381316,other
0.868408,0.009124,-0.481323,0.022471,0.024268,0.010867,1.9026,other
0.867188,0.00939,-0.479736,0.028691,0.029314,0.010459,2.272944,other
0.87793,0.025955,-0.434692,0.033066,0.035421,0.01422,5.626781,other
0.878418,0.016434,-0.455811,0.025269,0.029233,0.014978,4.776313,other
0.875,0.013097,-0.459717,0.020269,0.024229,0.01121,3.012639,other
0.873291,0.016554,-0.461914,0.023804,0.028038,0.01297,4.657994,other
0.874756,0.011774,-0.466064,0.029604,0.031455,0.014215,2.47379,other
0.868408,0.011507,-0.473877,0.022471,0.024197,0.0097,1.83132,other
0.869629,0.013462,-0.471558,0.019014,0.021247,0.009454,2.43663,other
0.879639,0.01703,-0.44751,0.029893,0.032507,0.012536,4.382789,other
0.882324,0.0126,-0.450562,0.016167,0.019559,0.015365,3.892516,other
0.876709,0.013874,-0.453979,0.017261,0.019238,0.008471,3.907161,other
0.878418,0.006548,-0.459595,0.019961,0.021579,0.005865,1.490221,other
0.872803,0.006179,-0.467529,0.023604,0.024028,0.004343,1.540385,other
0.87207,0.004941,-0.471069,0.020278,0.020873,0.006094,1.081489,other
0.874268,0.007225,-0.46582,0.014609,0.015812,0.006456,1.404269,other
0.871338,0.006687,-0.469116,0.014492,0.015496,0.004963,1.062531,other
0.871582,0.007063,-0.46875,0.011509,0.01284,0.00615,1.417892,other
0.872314,0.006773,-0.46814,0.010044,0.011213,0.006164,1.74417,other
0.872559,0.006846,-0.468018,0.013721,0.014492,0.006325,1.688292,other
0.871582,0.005726,-0.471558,0.014438,0.015148,0.005702,1.119342,other
0.873047,0.004494,-0.468628,0.018262,0.018824,0.004959,1.006081,other
0.873291,0.0068,-0.467041,0.020708,0.021203,0.005792,1.129534,other
0.875,0.006619,-0.466064,0.023359,0.023874,0.00719,1.267313,other
0.875,0.006473,-0.463989,0.019043,0.01999,0.005773,1.405541,other
0.875977,0.005577,-0.46228,0.020757,0.021249,0.004489,1.05193,other
0.873535,0.005656,-0.466064,0.019048,0.019626,0.006699,1.394399,other
0.875488,0.004619,-0.46521,0.022681,0.023027,0.004873,0.988382,other
0.878906,0.008271,-0.456299,0.027407,0.028186,0.006615,2.017039,other
0.879395,0.007793,-0.45813,0.022666,0.023742,0.008569,1.190565,other
0.873779,0.006913,-0.465698,0.024639,0.025886,0.006319,2.225042,other
0.874512,0.005815,-0.464111,0.026367,0.026856,0.00449,1.09449,other
0.878418,0.006088,-0.458984,0.025005,0.025421,0.005703,1.485778,other
0.87793,0.008425,-0.455566,0.025308,0.026081,0.007811,1.61454,other
0.877197,0.006136,-0.462036,0.021274,0.021741,0.00591,0.975289,other
0.880127,0.005933,-0.456543,0.026006,0.026547,0.006453,1.40747,other
0.876953,0.005799,-0.461182,0.021543,0.022039,0.006982,1.251031,other
0.873047,0.005381,-0.466675,0.019097,0.019354,0.005273,0.750418,other
0.874268,0.004026,-0.468506,0.017866,0.018319,0.004437,0.654291,other
0.873779,0.006604,-0.465576,0.019727,0.0203,0.005743,0.720992,other
0.874268,0.005519,-0.466675,0.022559,0.023129,0.005567,1.465091,other
0.874268,0.004698,-0.46582,0.020142,0.020673,0.005102,0.937108,other
0.873779,0.007982,-0.462524,0.02292,0.02352,0.005747,1.357737,other
0.872803,0.005615,-0.467407,0.020327,0.02087,0.005381,1.421835,other
0.874512,0.004755,-0.467285,0.023311,0.023669,0.005183,0.822449,other
0.874023,0.005656,-0.464233,0.026279,0.026666,0.00482,1.28263,other
0.874512,0.004058,-0.468994,0.020283,0.020612,0.005332,0.920337,other
0.872803,0.004946,-0.469238,0.021631,0.022246,0.005193,1.35616,other
0.869873,0.006614,-0.471924,0.022021,0.022607,0.004689,1.321939,other
0.87085,0.007625,-0.470215,0.019937,0.020639,0.005832,1.026028,other
0.87085,0.006586,-0.474121,0.02249,0.023672,0.006706,1.89612,other
0.870605,0.007104,-0.469849,0.019063,0.020134,0.005043,1.411499,other
0.870361,0.005312,-0.472046,0.024185,0.024627,0.004342,0.819826,other
0.871094,0.011496,-0.47168,0.016636,0.018281,0.014464,0.740571,other
0.869873,0.019792,-0.4646,0.026958,0.030178,0.015489,3.807035,other
0.867676,0.023337,-0.467529,0.044634,0.049069,0.015907,4.559689,other
0.861084,0.014053,-0.482056,0.042202,0.043312,0.007978,5.129593,other
0.866943,0.00913,-0.476074,0.040327,0.040924,0.008148,3.033707,other
0.863525,0.009836,-0.480957,0.038516,0.039265,0.006052,1.489865,other
0.86377,0.007744,-0.482422,0.037876,0.038367,0.006022,2.704747,other
0.865479,0.010041,-0.479004,0.04311,0.04375,0.007935,3.307209,other
0.865479,0.005493,-0.481445,0.043496,0.043689,0.005984,0.94199,other
0.865723,0.005032,-0.4823,0.037505,0.037751,0.005135,1.211019,other
0.864746,0.007667,-0.479492,0.041289,0.042018,0.006073,1.331669,other
0.866943,0.005446,-0.47876,0.044609,0.044894,0.005256,1.095665,other
0.86792,0.006234,-0.474854,0.041909,0.042185,0.0059,0.86712,other
0.869385,0.008745,-0.472046,0.039312,0.039879,0.00615,1.415791,other
0.869873,0.009068,-0.468872,0.035981,0.036691,0.008143,2.38955,other
0.869873,0.008469,-0.471313,0.041763,0.042652,0.00738,2.314219,other
0.868164,0.004941,-0.47644,0.036851,0.037384,0.005079,1.501405,other
0.870361,0.007858,-0.467529,0.032876,0.034009,0.006362,1.679657,other
0.870605,0.00945,-0.466797,0.039678,0.040342,0.007005,1.648447,other
0.87207,0.007547,-0.466797,0.031089,0.031493,0.006147,1.869623,other
0.871338,0.007024,-0.468872,0.027861,0.028236,0.005933,1.378848,other
0.871338,0.008125,-0.469482,0.026431,0.027269,0.007751,1.63016,other
0.870605,0.005375,-0.472656,0.023276,0.023714,0.005055,1.355367,other
0.873535,0.006974,-0.465698,0.029897,0.030482,0.005262,1.414477,other
0.872803,0.003846,-0.46936,0.030747,0.031002,0.004791,1.240868,other
0.876221,0.016812,-0.450317,0.038906,0.041023,0.012797,4.350511,other
0.887451,0.037679,-0.416992,0.042485,0.047832,0.018951,8.723779,other
